,Customer_Name,REVIEW_TITLE,Color,REVIEW_DATE,COMMENTS,RATINGS,comments_prep,review_prep,char_counts,word_counts,sent_counts,avg_word_len,avg_sent_len,char_counts_rev,word_counts_rev,sent_counts_rev,avg_word_len_rev,avg_sent_len_rev,anonymous_customer,RATINGS_SENTIMENT
10,Ak,Grab the Greenish Grey Color. Its awesome.,Iguana,31-Aug-21,it is made of premium quality plastic and has good finishing. I use it for hours and don't feel anything troubling my ears. Well crafted and ergonomic design made to go with the flow. The wire stem is thick and the branches are rubberised but are of good quality. If you make sure that it does not get struck by your arms while using then it can surely last about 4 years.Good for calling. No mic issues faced. Music is fine no complaints. Grab this product and save your ears.The in ear headphones do a vacuum suction to the ears and can lead to severe problems if used for long hours.,5,premium quality plastic good finishing use hours dont feel troubling ears crafted ergonomic design flow wire stem thick branches rubberised good quality sure struck arms surely 4 yearsgood calling mic issues faced music fine complaints grab product save earsthe ear headphones vacuum suction ears lead severe problems long hours,grab greenish grey color awesome,586,111,8,4.288288288288288,13.875,42,7,2,5.142857142857143,3.5,True,positive
11,Shankar.B,Good choice for regular usage and meetings,Black,25-Jun-21,"Boat is known brand, definitely everyone expects premium sound quality. This model almost meets the expectations.Pros 1. Premium looks, quality and design2. Comfortable3. Good sound and Bass4. Attractive Red colour Play pause button5. Mic is clearly noticableCons 1. Netted cable is given between jack to mic, which is less durable2. No volume controller, previous, next buttons3. Treble is not good4. Not noticed any noise cancellation5. Over priced",4,boat known brand definitely expects premium sound quality model meets expectationspros 1 premium looks quality design2 comfortable3 good sound bass4 attractive red colour play pause button5 mic clearly noticablecons 1 netted cable given jack mic durable2 volume controller previous buttons3 treble good4 noticed noise cancellation5 priced,good choice regular usage meetings,450,67,12,5.731343283582089,5.583333333333333,42,7,1,5.142857142857143,7.0,True,positive
12,Aryan kohli,Not for listening to music,Iguana,07-Nov-21,"If you are the type of person who does not like to fumble around with Bluetooth on windows laptops and already have a good pair of headphones and earphones and need these for taking online classes or meetings or just watching youtube, they are totally alright for that purpose.The build quality is very nice. Will survive some abuse. Have braided cable. The plastic quality is also excellent no sharp edges.I have compared these to apple's earpods. earpods still sound better than these. Don't buy these for music purposes because you'll be heavily disappointed. They sound garbage, but for anything speech related, these are fine. As I said, if you want to take a quick meeting or just for an online class or watch youtube.",3,type person like fumble bluetooth windows laptops good pair headphones earphones need taking online classes meetings watching youtube totally alright purposethe build quality nice survive abuse braided cable plastic quality excellent sharp edgesi compared apples earpods earpods sound better these dont buy music purposes youll heavily disappointed sound garbage speech related fine said want quick meeting online class watch youtube,listening music,724,124,8,4.846774193548387,15.5,26,5,1,4.4,5.0,True,neutral
13,Vickey,"Disappointed Looks pretty, sound's bad",Blue,15-Jun-21,Audio quality is pathetic. Vocals are suppressed too much. Beats and Bass are too high. Not enjoyable.,2,audio quality pathetic vocals suppressed much beats bass high enjoyable,disappointed looks pretty sounds bad,102,17,4,5.0588235294117645,4.25,38,5,1,6.8,5.0,True,negative
14,Murali K.,Extremely poor sound output,White,07-Oct-21,"I tried comparing the output of these earphones with that of apple original earphones this boat earphones cannot stand anyway near apple earphones, i agree you get what you pay for but in this case it feels more like cheated zero value for the money spent, the earphones are not worth even 100 rupees",1,tried comparing output earphones apple original earphones boat earphones stand near apple earphones agree pay case feels like cheated zero value money spent earphones worth 100 rupees,extremely poor sound output,300,54,1,4.574074074074074,54.0,27,4,1,6.0,4.0,True,negative
15,swapnil tayade,Underrated headphones,Blue,09-Jul-21,"It has 13.5 mm driver at this price makes it superb. Sound quality is actually very good as compared to other mi, realme etc wired headphones at this price. Also people's who don't like ear buds they can find it as good option. It seems underrated headphones but actually it's sound is very nice if you can compare with others.I like chilly combination in blue and orange combo with untangled write.",5,135 mm driver price makes superb sound quality actually good compared mi realme etc wired headphones price peoples dont like ear buds find good option underrated headphones actually its sound nice compare othersi like chilly combination blue orange combo untangled write,underrated headphones,399,71,4,4.633802816901408,17.75,21,2,1,10.0,2.0,True,positive
16,Dennis Bob Philip,Value for money,Black,06-Dec-21,"Very light, surprisingly loud for the tiny size. Very light, cable build quality braided cloth feel outstanding. The plastic earpiece is very light, chunky heavy duty single button. Fits just right, could hurt if you went to sleep wearing them and turned your head to the side as it's plastic. Boat quality for a very competitive price. Old school basic design from the first mobile phone days.",4,light surprisingly loud tiny size light cable build quality braided cloth feel outstanding plastic earpiece light chunky heavy duty single button fits right hurt went sleep wearing turned head its plastic boat quality competitive price old school basic design mobile phone days,value money,394,67,6,4.895522388059701,11.166666666666666,15,3,1,4.333333333333333,3.0,True,positive
17,Subhendu Santra,Sound quality can be much better,Black,28-May-21,The media could not be loaded. Sound is good but the bass is quite low,4,media loaded sound good bass low,sound quality better,70,15,2,3.7333333333333334,7.5,32,6,1,4.5,6.0,True,positive
18,Vishal TK,Value for money,White,03-Jun-22,"I bought it for attending meetings. The earphone with soft tip turned out to uncomfortable during prolonged use. Then I came across this earphone.1. Value for money2. braided cable3. Clear audio4. Other party can hear me well during meeting5. Balanced bassIf you are bass head and looking for earphone which gives strong bass, then this is not the product for you. Rest of the janta can buy this earphone.",5,bought attending meetings earphone soft tip turned uncomfortable prolonged use came earphone1 value money2 braided cable3 clear audio4 party hear meeting5 balanced bassif bass head looking earphone gives strong bass product you rest janta buy earphone,value money,405,69,9,4.884057971014493,7.666666666666667,15,3,1,4.333333333333333,3.0,True,positive
19,Kaiwalya Labade,It's what you pay for,White,03-Nov-21,"My review is still keeping in mind that it is a 299 earphone. Still is too crappy. The bad is too pumped up and the vocals get too much muffled. I bought this because I needed a non silicone earbud replacement for my over the ear headphones, since they get sweaty sometimes. I had to manually lower the bass just to listen to normal yt videos and play game. There are better options but I wanted something in this shape so it's alright.",3,review keeping mind 299 earphone crappy bad pumped vocals muffled bought needed non silicone earbud replacement ear headphones sweaty sometimes manually lower bass listen normal yt videos play game better options wanted shape its alright,its pay,436,83,6,4.265060240963855,13.833333333333334,21,5,1,3.4,5.0,True,neutral
20,Kalyan goud,OK product for it's price,Blue,18-Jul-21,"The bass is quite good.Well balanced treble.The cable is sturdy and tangle free.Fits right in my ears.Update after 3 months usage Both the sides stopped producing effective sound that they used to produce when i used it for the first time....now they produce lower volume 1year warranty is just a statement nothing works UPDATE of return So i contacted boat support and they agreed for the pick up and after product testing, they approved to replace my product with a new one and now i got new earphones from boat but NOT from amazon....so u can contact boat support if your product isn't working fine within the warranty period...Thank you.",1,bass goodwell balanced treblethe cable sturdy tangle freefits right earsupdate 3 months usage sides stopped producing effective sound produce timenow produce lower volume 1year warranty statement works update return contacted boat support agreed pick product testing approved replace product new got new earphones boat amazonso u contact boat support product isnt working fine warranty periodthank you,ok product its price,641,110,1,4.836363636363636,110.0,25,5,1,4.2,5.0,True,negative
21,Karan Narang,Unexpectedly good,Black,22-Sep-21,"There isn't any noise cancelling, which is totally fine but their sound is RELLY good I've been against using Boat earphones since I haven't had a good experience with 3 models of boat, somehow this was the only option in the budget I was looking for and they are by far great Amazing built quality, great sound, okayish mic but that isn't too much of a problem",5,isnt noise cancelling totally fine sound relly good ive boat earphones havent good experience 3 models boat option budget looking far great amazing built quality great sound okayish mic isnt problem,unexpectedly good,361,67,1,4.402985074626866,67.0,17,2,1,8.0,2.0,True,positive
22,sushanth reddy,A budget replacement for apple earpods,Black,15-Jun-21,Decent sound quality on music and calls. Bass is elevated just a little bit not too much. Sturdy wires and the wire from jack to mic is braided and has a good texture and feel. The jack is some kid of rubberized plastic so it helps to grip it when pulling the jack from phone or laptop. Satisfield for the value it provides for the price.,4,decent sound quality music calls bass elevated little bit much sturdy wires wire jack mic braided good texture feel jack kid rubberized plastic helps grip pulling jack phone laptop satisfield value provides price,budget replacement apple earpods,338,66,5,4.136363636363637,13.2,38,6,1,5.5,6.0,True,positive
23,Amazon Customer,Worth buying,Blue,20-Jun-21,The media could not be loaded. Product look is good. Sound clarity is also good. They could have used magnets like other phones. Product comes with one year warranty.Have to see endurance,4,media loaded product look good sound clarity good magnets like phones product comes year warrantyhave endurance,worth buying,187,32,5,4.875,6.4,12,2,1,5.5,2.0,False,positive
24,Amit Gaikwad,Good One,Iguana,24-Oct-21,Nice quality fitted good for me. even it does't have noise cancellation but still sound is quite laud and during call or during listening music its not disturb due to surrounding. just like mi its should be have magnet sticking as its quite useful in many cases. also its mic volume control should be in right side not in middle. right side near mouth position good during noisy surrounding or less network area.,3,nice quality fitted good me doest noise cancellation sound laud listening music disturb surrounding like mi magnet sticking useful cases mic volume control right middle right near mouth position good noisy surrounding network area,good,412,73,5,4.657534246575342,14.6,8,2,1,3.5,2.0,True,neutral
25,amrit raj,"It sucks, waste of money",Black,23-Oct-21,"Delivery was fast no doughts about that but after using 3 days only it started showing problems first microphone stopped working without any reason, then after 2 days the whole device stopped working using it in vivo y51a very bad experience and really disappointing by baot as for the price it is definitely overpriced, 50 rupee street earphone is much better than thisDon't go for it ... Look for something else",1,delivery fast doughts 3 days started showing problems microphone stopped working reason 2 days device stopped working vivo y51a bad experience disappointing baot price definitely overpriced 50 rupee street earphone better thisdont  look,sucks waste money,413,71,1,4.830985915492958,71.0,24,5,1,4.0,5.0,True,negative
26,Mukul Sharma,Good buy in this price,White,13-Jun-21,The earphones looks okay. Basically in this price they solve the purpose. You can take meetings and use them as normal earphone. They fit perfectly. I thing it's the best purchase in this price. Obviously they can't be use to hear music if you are hardcore music listener you won't find that good in this case.,5,earphones looks okay basically price solve purpose meetings use normal earphone fit perfectly thing its best purchase price obviously cant use hear music hardcore music listener wont find good case,good buy price,310,56,6,4.553571428571429,9.333333333333334,22,5,1,3.6,5.0,True,positive
27,Kajari Biswas,Wonderful product,Black,17-Nov-21,It's a wonderful product. Using it for more that 2 3months now. The sound quality is excellent. I was using big sound proof headsets for a long time. Had to choose this one for travel and some special need. Initially i was sceptical that how my sound experience would be after those big headsets. But this is a nice change. Build quality is very good.Amazon delivery is a thumps up...,5,its wonderful product 2 3months now sound quality excellent big sound proof headsets long time choose travel special need initially sceptical sound experience big headsets nice change build quality goodamazon delivery thumps up,wonderful product,384,70,8,4.5,8.75,17,2,1,8.0,2.0,True,positive
28,Junead Q.,Good Quality and last long,White,01-Mar-22,"Have bought total of 3 earphones , obviously after using 1 i bought 2 more , Planning to buy some more when price drops 350.Good quality , strenght is awesome.Only draw back is background noise cancellation during call. I was excpecting good noise cancellation but it's not there.overall it's good insted of buying 100rs earphone multiple times this one last long. I am using it more than 6mths and I am a heavy user.",4,bought total 3 earphones  obviously 1 bought 2  planning buy price drops 350good quality  strenght awesomeonly draw background noise cancellation call excpecting good noise cancellation its thereoverall its good insted buying 100rs earphone multiple times long 6mths heavy user,good quality long,417,74,3,4.648648648648648,24.666666666666668,26,5,1,4.4,5.0,True,positive
29,sk,Basic did not work morethan day.,Iguana,07-Oct-21,"Basic did not work morethan 1 day.This earphones i have used on my Mobile sound was pure basic. Tried for my office calls over Zoom Skype there is a lot of static. After few calls, the echo static increased more.Tried restarting the laptop still same. Had to go back to my old Samsung's.I dont want a Replacement, please helpe me with Return Redund.",1,basic work morethan 1 daythis earphones mobile sound pure basic tried office calls zoom skype lot static calls echo static increased moretried restarting laptop same old samsungsi dont want replacement helpe return redund,basic work morethan day,349,63,4,4.555555555555555,15.75,32,6,1,4.5,6.0,True,negative
30,Ritwik,"Generic piece , don't expect much .",Black,25-Apr-22,"Won't even last 8 months , these companies are deliberately making this ear phones to wear out in less than year so that they can have a steady demand . Its always the same problem no matter what brand you buy, one ear piece would stop working in less than a year. Its the agreed upon business model by earphone cartel",2,wont 8 months  companies deliberately making ear phones wear year steady demand  problem matter brand buy ear piece stop working year agreed business model earphone cartel,generic piece  dont expect ,318,61,3,4.229508196721311,20.333333333333332,35,7,1,4.142857142857143,7.0,True,negative
31,Swagat Sourabh,Nice,Spirit Lime,25-Nov-21,I have oily inner ears. So i alwaysprefer such ear phines. I got it in sale for good price. The quality is really good. But bass and noise cancellation is not the best feature as this is a regular build earphone. But its good for low price and sound quality. Also does not hurt your ear.,5,oily inner ears alwaysprefer ear phines got sale good price quality good bass noise cancellation best feature regular build earphone good low price sound quality hurt ear,nice,287,56,7,4.142857142857143,8.0,4,1,1,4.0,1.0,True,positive
32,Mohammad Bilal,Read before you buy,Iguana,19-Jul-21,"Built quality 10 10Sound quality 20 10 yes that goodI knew boats would do a good job in terms of sound clarity and quality but since I only prefer half in ear earphones I didn't expect it to give this good outcome in a half in ear earphone. Super impressed quality, clarity and bass yes bass in a half in ear earphone you read it right. Go for it guys and fall in love with the old school most comfortable earphone style ever.",5,built quality 10 10sound quality 20 10 yes goodi knew boats good job terms sound clarity quality prefer half ear earphones didnt expect good outcome half ear earphone super impressed quality clarity bass yes bass half ear earphone read right guys fall love old school comfortable earphone style ever,read buy,426,83,3,4.144578313253012,27.666666666666668,19,4,1,4.0,4.0,True,positive
33,Ivy,Doesn't clog ears. Voice clartiy could have been better.,White,13-Sep-21,"Earphones which came with my Oppo phone got damaged so i bought this one. Compared to that earphones, the Boat earphones have slightly lesser voice clarity, but its wires are thicker so less likely to crack. I like this ear buds design as it doesn't clog ears unlike the buds which tightly snug into ear and block airflow. But it would have been better if Boat instead of paying to celebrities would have spent the resources on improving voice clarity.",5,earphones came oppo phone got damaged bought one compared earphones boat earphones slightly lesser voice clarity wires thicker likely crack like ear buds design doesnt clog ears unlike buds tightly snug ear block airflow better boat instead paying celebrities spent resources improving voice clarity,doesnt clog ears voice clartiy better,452,80,4,4.6625,20.0,56,9,2,5.333333333333333,4.5,True,positive
34,Arjun C,Value for the price,White,18-Sep-21,"Reviewing after about 1month use. We cannot compare it with premium ones, but quality is worth the price..Pros 1. Good and comfortable design, especially for whom bud type is uncomfortable. 2. Sound quality not that bad.Cons 1. After the button, the matrrial is normal rubber and chances of break is there.",5,reviewing 1month use compare premium ones quality worth pricepros 1 good comfortable design especially bud type uncomfortable 2 sound quality badcons 1 button matrrial normal rubber chances break there,value price,306,51,6,5.019607843137255,8.5,19,4,1,4.0,4.0,True,positive
35,Sagar Bhandare,Apple design but poor mic and average sound quality,White,11-Jan-22,"Only look is fantastic same like Apple earphone. But sound quality and mic quality is not so good. It's average. For cheap 399 earphone this is expected. Better go for good quality earphones. Only design is best rest all not useful much.Sound is not clear, it spreads.",4,look fantastic like apple earphone sound quality mic quality good its average cheap 399 earphone expected better good quality earphones design best rest useful muchsound clear spreads,apple design poor mic average sound quality,268,47,6,4.723404255319149,7.833333333333333,51,9,1,4.777777777777778,9.0,True,positive
36,Amazon Customer,Good value for money,White,06-Sep-21,"Received product is great packing secured packing to know my earphone were original and earphone are very sturdy, durable..I liked them as my usage is very rough and I washed earphone cable as well to clean them...After washing cable, it s still working great.. Update After using for 6 months it has started to malfunction...sometimes mic is not working or sound is not coming...",4,received product great packing secured packing know earphone original earphone sturdy durablei liked usage rough washed earphone cable clean themafter washing cable s working great update 6 months started malfunctionsometimes mic working sound coming,good value money,380,64,1,4.953125,64.0,20,4,1,4.25,4.0,False,positive
37,Utkrisht Upadhyay,"It's not a bad piece, but far from the best in its class.",Iguana,21-Nov-21,"I'm a constant user of Boat, buying their earphones every few months because earphone cables can be surprisingly delicate . . , and this was my latest experiment , so as to say. While they aren't necessarily bad earphones, they're fairly lackluster. The volume only goes so high, noise cancellation is nonexistent and the hard plastic hurts your ears when wearing something over it. But hey, it's a personal listening device for 400. I guess there's not much to complain about. Still, in that same 400, you can go for a 102 or 100 instead. They're truly good earphones. This is just an okay one, but it's an okay I won't say no to.",4,im constant user boat buying earphones months earphone cables surprisingly delicate    latest experiment  say arent necessarily bad earphones theyre fairly lackluster volume goes high noise cancellation nonexistent hard plastic hurts ears wearing it hey its personal listening device 400 guess theres complain about still 400 102 100 instead theyre truly good earphones okay one its okay wont to,its bad piece far best class,631,114,10,4.543859649122807,11.4,57,13,1,3.4615384615384617,13.0,True,positive
38,SANDIP TIVARI,BoAt .. You are becoming G.O.A.T.,Iguana,06-Jul-21,"I have never seen an Indian market can compare in tech world. But BoAt, you are energetically competing. Product is awesome. wired and color combination for this earphone is quite unique. and the sound quality... Mashallah...Price is in range for audio quality and wired earphone. Thanks for making this product.",5,seen indian market compare tech world boat energetically competing product awesome wired color combination earphone unique sound quality mashallahprice range audio quality wired earphone thanks making product,boat  goat,312,50,6,5.26,8.333333333333334,33,6,1,4.666666666666667,6.0,True,positive
39,Manish Sutradhar,Sound Quality is okaish type,Black,22-Dec-21,"bass quality 3 stars treble Quality 3 stars Sound Quality 3.5 starsoverall if you need and earphone just to take some calls and if you are on tight budget then you can go for it because in this price range boat is providing a decent earphone like this.if you can add 200 more , go with boat 255 wired earphone worth Rs499, its worthy and am using it too since past 4 years obviously i changed it like 2 times",4,bass quality 3 stars treble quality 3 stars sound quality 35 starsoverall need earphone calls tight budget price range boat providing decent earphone like thisif add 200  boat 255 wired earphone worth rs499 worthy past 4 years obviously changed like 2 times,sound quality okaish type,408,80,1,4.1125,80.0,28,5,1,4.8,5.0,True,positive
40,AC,Like it,Black,24-Dec-21,"Good sound quality. . Only don't like the ear plugs....hard plastic and big....should have soft ear plugs. Wire is covered with some thread material unlike plain plastic....hence more durable, doesn't get tangled nor gets stretched.",3,good sound quality  dont like ear plugshard plastic bigshould soft ear plugs wire covered thread material unlike plain plastichence durable doesnt tangled gets stretched,like,232,35,4,5.6571428571428575,8.75,7,2,1,3.0,2.0,True,neutral
41,JANANI S,WIRED EARPHONE ALWAYS BOAT,Black,20-Jan-22,IAmA boAthead always. My old one was lost so got this boat wired. Its more than my expectation. As i always lik plastic ear head than rubber ones this one is so perfect fr the ones like me. Especially the quality of the sound is first class.,5,iama boathead always old lost got boat wired expectation lik plastic ear head rubber ones perfect fr ones like me especially quality sound class,wired earphone boat,241,47,5,4.148936170212766,9.4,26,4,1,5.75,4.0,True,positive
42,Gokul Nair,Great half in ear earphones,White,31-Jan-22,I like how it feels while using it. Doesn t cause much trouble like the earphones with silicone buds. Mic sensitivity is as expected. I m using it for work. Looks like a good buy to me. However since its a wired earphone I won t recommend it for workouts. Wireless ones work better when your aim is to move around more rather than sit in front of a laptop or computer,5,like feels it doesn t cause trouble like earphones silicone buds mic sensitivity expected m work looks like good buy me wired earphone won t recommend workouts wireless ones work better aim sit laptop computer,great half ear earphones,367,72,7,4.111111111111111,10.285714285714286,27,5,1,4.6,5.0,True,positive
43,Kanakaraj,Good product,White,19-Feb-22,Purchased on December 2021.Fits comfortably in the ear.Tangle free wires are awesome.Good for attending online classes for longer duration with minimal discomfort.Noise cancellation is good.Go for it. Worth the money.,4,purchased december 2021fits comfortably eartangle free wires awesomegood attending online classes longer duration minimal discomfortnoise cancellation goodgo it worth money,good product,217,30,2,6.266666666666667,15.0,12,2,1,5.5,2.0,True,positive
44,Bhavesh,bad sound balance. already replaced times.,Blue,27-Nov-21,Not good for long term use.Bass is ok but not so good.Audio balance on L R was really bad even after getting it replaced 3 times from Boat service centre.Not loud enough.Wire seems good.Not a good fit in ear.Edit. Replacement for the 3rd time. Yet having same issue. Audio balance shifts to left after 2 weeks of use. Not a good model.Please get some other models.,1,good long term usebass ok goodaudio balance l r bad getting replaced 3 times boat service centrenot loud enoughwire goodnot good fit earedit replacement 3rd time having issue audio balance shifts left 2 weeks use good modelplease models,bad sound balance replaced times,364,66,5,4.53030303030303,13.2,42,6,2,6.166666666666667,3.0,True,negative
